Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
10,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
20,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
30,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
40,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
50,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
60,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
70,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
80,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
90,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
100,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
110,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
120,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
130,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
140,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
150,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
160,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
170,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
180,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
190,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
200,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
210,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
220,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
230,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
240,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
250,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
260,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
270,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
280,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
290,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
300,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
310,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
320,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
330,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
340,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
350,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
360,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
370,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
380,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
390,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
400,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
410,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
420,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
430,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
440,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
450,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
460,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
470,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
480,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
490,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
500,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
510,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
520,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
530,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
540,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
550,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
560,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
570,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
580,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
590,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
600,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
610,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
620,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
630,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
640,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
650,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
660,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
670,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
680,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
690,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
700,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
710,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
720,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
730,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
740,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
750,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
760,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
770,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
780,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
790,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
800,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
810,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
820,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
830,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
840,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
850,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
860,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
870,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
880,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
890,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
900,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
910,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
920,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
930,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
940,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
950,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
960,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
970,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
980,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
990,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1000,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1010,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1020,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1030,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1040,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1050,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1060,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1070,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1080,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1090,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1100,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1110,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1120,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1130,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1140,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1150,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1160,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1170,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1180,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1190,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1200,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1210,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1220,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1230,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1240,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1250,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1260,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1270,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1280,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1290,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1300,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1310,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1320,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1330,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1340,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1350,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1360,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1370,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1380,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1390,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1400,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1410,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1420,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1430,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1440,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1450,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1460,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1470,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1480,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1490,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1500,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1510,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1520,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1530,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1540,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1550,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1560,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1570,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1580,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1590,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1600,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1610,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1620,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1630,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1640,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1650,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
