Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11,vecEff12
10,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
20,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
30,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
40,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
50,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
60,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
70,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
80,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
90,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
100,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
110,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
120,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
130,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
140,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
150,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
160,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
170,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
180,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
190,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
200,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
210,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
220,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
230,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
240,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
250,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
260,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
270,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
280,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
290,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
300,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
310,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
320,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
330,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
340,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
350,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
360,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
370,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
380,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
390,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
400,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
410,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
420,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
430,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
440,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
450,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
460,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
470,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
480,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
490,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
500,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
510,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
520,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
530,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
540,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
550,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
560,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
570,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
580,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
590,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
600,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
610,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
620,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
630,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
640,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
650,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
660,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
670,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
680,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
690,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
700,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
710,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
720,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
730,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
740,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
750,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
760,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
770,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
780,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
790,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
800,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
810,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
820,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
830,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
840,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
850,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
860,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
870,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
880,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
890,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
900,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
910,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
920,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
930,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
940,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
950,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
960,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
970,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
980,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
990,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1000,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1010,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1020,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1030,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1040,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1050,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1060,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1070,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1080,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1090,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1100,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1110,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1120,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1130,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1140,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1150,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1160,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1170,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1180,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1190,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1200,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1210,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1220,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1230,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
1240,-1000698,4.450186e-08,0.08842161,0.006742107,0.2077007,0.7396025,0.6870785,0.6270005,0.5675984,0.4185207,0.9872179,0.246233,0.4355297,0.6219219
